timestamp,order_id,driver_id,score,probability,result
2026-08-11 10:06:00,O0001,D004,55.93,0.428,allocated
2026-08-11 06:16:00,O0002,D005,39.46,0.0193,allocated
2026-08-11 10:23:00,O0003,D017,52.42,0.1851,cancelled
2026-08-11 20:44:00,O0004,D021,54.05,0.1447,cancelled
2026-08-11 10:01:00,O0005,D008,49.42,0.1356,allocated
2026-08-11 18:40:00,O0006,D008,54.38,0.2863,allocated
2026-08-11 08:48:00,O0007,D021,52.38,0.2416,cancelled
2026-08-11 19:42:00,O0008,D003,50.75,0.5479,allocated
2026-08-11 12:46:00,O0009,D023,43.56,0.0603,allocated
2026-08-11 19:24:00,O0010,D018,41.21,0.0536,allocated
2026-08-11 20:07:00,O0011,D003,52.2,0.302,allocated
2026-08-11 11:19:00,O0012,D030,58.87,0.2543,allocated
2026-08-11 17:57:00,O0013,D016,46.45,0.0472,allocated
2026-08-11 19:16:00,O0014,D003,50.13,0.2616,allocated
2026-08-11 06:05:00,O0015,D002,49.92,0.1776,allocated
2026-08-11 18:25:00,O0016,D002,54.11,0.1786,allocated
2026-08-11 21:38:00,O0017,D013,49.06,0.0967,allocated
2026-08-11 17:29:00,O0018,D003,50.22,0.5041,allocated
2026-08-11 11:57:00,O0019,D007,44.98,0.0756,allocated
2026-08-11 08:32:00,O0020,D011,40.07,0.012,allocated
2026-08-12 21:52:00,O0021,D010,57.22,0.0776,allocated
2026-08-12 14:00:00,O0022,D026,55.99,0.0511,allocated
2026-08-12 19:13:00,O0023,D001,52.42,0.0418,allocated
2026-08-12 10:25:00,O0024,D026,56.82,0.0693,allocated
2026-08-12 17:27:00,O0025,D029,60.33,0.146,allocated
2026-08-12 17:37:00,O0026,D027,60.34,0.114,allocated
2026-08-12 11:55:00,O0027,D006,55.33,0.0359,allocated
2026-08-12 08:55:00,O0028,D027,56.89,0.053,allocated
2026-08-12 06:35:00,O0029,D027,60.87,0.1246,allocated
2026-08-12 15:44:00,O0030,D027,55.21,0.0597,allocated
2026-08-12 21:07:00,O0031,D026,56.68,0.1011,allocated
