driver_id,total_orders,completed,cancelled,avg_score,order_probability
D001,25,24,1,46.06,0.89
D002,55,55,0,56.55,1.96
D003,68,67,1,57.1,2.43
D004,72,72,0,58.63,2.57
D005,49,34,15,56.9,1.75
D006,72,61,11,57.01,2.57
D007,50,49,1,57.87,1.79
D008,26,0,26,61.16,0.93
D009,65,65,0,59.29,2.32
D010,18,18,0,48.05,0.64
D011,54,51,3,58.64,1.93
D012,78,78,0,57.45,2.79
D013,87,87,0,61.25,3.11
D014,70,56,14,55.56,2.5
D015,53,48,5,58.5,1.89
D016,83,83,0,60.69,2.96
D017,63,63,0,55.96,2.25
D018,45,0,45,60.71,1.61
D019,27,0,27,53.19,0.96
D020,55,55,0,59.25,1.96
D021,72,72,0,58.04,2.57
D022,57,52,5,56.49,2.04
D023,42,31,11,55.1,1.5
D024,26,23,3,51.57,0.93
D025,21,20,1,46.82,0.75
D026,76,75,1,57.3,2.71
D027,39,39,0,55.73,1.39
D028,50,49,1,53.26,1.79
D029,74,72,2,59.13,2.64
D030,58,58,0,58.76,2.07
D031,81,81,0,58.22,2.89
D032,48,8,40,57.92,1.71
D033,74,74,0,57.22,2.64
D034,59,53,6,58.96,2.11
D035,89,88,1,60.06,3.18
D036,84,84,0,58.38,3.0
D037,34,34,0,56.74,1.21
D038,52,45,7,58.2,1.86
D039,75,66,9,58.53,2.68
D040,51,22,29,54.69,1.82
D041,46,46,0,57.94,1.64
D042,50,50,0,55.08,1.79
D043,90,90,0,58.85,3.21
D044,29,29,0,55.96,1.04
D045,68,67,1,61.21,2.43
D046,52,52,0,57.2,1.86
D047,50,50,0,56.1,1.79
D048,66,66,0,60.14,2.36
D049,34,34,0,55.23,1.21
D050,38,33,5,53.75,1.36
