feature,model_importance,permutation_importance
historical_fit,0.16411943704930393,0.14142194744976824
estimated_distance,0.10960873882174868,0.13137557959814533
estimated_duration,0.10189904673612159,0.1259659969088099
time_fit,0.06616753185918278,0.1221020092735704
location_score,0.185599963142723,0.12055641421947444
eta_fit,0.20042733061304147,0.11901081916537865
online_consistency,0.07644922676694917,0.11823802163833072
service_fit,0.05732349452592016,0.05641421947449774
completion_rate,0.021264350088165664,0.04250386398763526
acceptance_rate,0.017140880396843524,0.022411128284389372
demand_score,0.0,0.0
